#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err	range
Bhatawdekar_et_al._2018	7.0	7.0	0.006593589370613413	0.001958054333221762	UV
Bhatawdekar_et_al._2018	8.0	8.0	0.005847412688098375	0.006308950739387316	UV
Takeuchi_et_al._2003	0.03	0.0	0.010707063715217426	0.00262892405466036	IR
Gruppioni_et_al._2013	0.0	0.3	0.025881545283752933	0.012553407340283287	IR
Gruppioni_et_al._2013	0.3	0.45	0.03793987427938655	0.0037399375569315196	IR
Gruppioni_et_al._2013	0.45	0.6	0.04795731051063064	0.006472296295673814	IR
Gruppioni_et_al._2013	0.6	0.8	0.06944339793125584	0.010795566447429029	IR
Gruppioni_et_al._2013	0.8	1.0	0.11298117878472913	0.016828488311548304	IR
Gruppioni_et_al._2013	1.0	1.2	0.15156589920557662	0.019841886621121674	IR
Gruppioni_et_al._2013	1.2	1.7	0.14102722772797815	0.01627755679695931	IR
Gruppioni_et_al._2013	1.7	2.0	0.09503551003038414	0.009392356251669289	IR
Gruppioni_et_al._2013	2.0	2.5	0.12021070985188187	0.03198869153778228	IR
Gruppioni_et_al._2013	2.5	3.0	0.14978781950129935	0.07134468469371771	IR
Gruppioni_et_al._2013	3.0	4.2	0.05777083089716208	0.05366762523283677	IR
Gruppioni_et_al._2020	0.5	1.5	0.08664517795803546	0.04505	IR
Gruppioni_et_al._2020	1.5	2.5	0.09719406012903935	0.0688	IR
Gruppioni_et_al._2020	2.5	3.5	0.16226095850434857	0.05115	IR
Gruppioni_et_al._2020	3.5	4.5	0.07963182273255448	0.0309	IR
Gruppioni_et_al._2020	4.5	6.0	0.06443560528103243	0.06305	IR
Koprowski_et_al._2017	0.5	1.5	0.00889309880362406	0.007209242387944332	IR
Koprowski_et_al._2017	1.5	2.5	0.007813101552902905	0.0014599306571442146	IR
Koprowski_et_al._2017	2.5	3.5	0.0027807199060856597	0.0010125877432968094	IR
Koprowski_et_al._2017	3.5	4.5	0.0007657076102355697	0.0007124915038558317	IR
#Magnelli_et_al._2019	3.9	3.9	0.0030487685204502878	0.0	IR
Lim_et_al._2020	0.5	1.3	0.11568722295652578	0.1332720291768137	IR
Lim_et_al._2020	1.3	2.5	0.3785671812556606	0.49748215098934495	IR
Lim_et_al._2020	2.5	4.0	1.6896044843564553	5.832524687183659	IR
Wang_et_al._2019	0.0	0.3	0.023874732235397066	0.005462550101013264	IR
Wang_et_al._2019	0.3	0.45	0.044192237338087005	0.009486357197232231	IR
Wang_et_al._2019	0.45	0.6	0.055903464153879784	0.014010921119086306	IR
Wang_et_al._2019	0.6	0.8	0.08841545521986562	0.01424191833709021	IR
Wang_et_al._2019	0.8	1.0	0.14012905308631543	0.03382770231679233	IR
Wang_et_al._2019	1.0	1.2	0.15610058920622402	0.03181176523013107	IR
Wang_et_al._2019	1.2	1.7	0.1755732663174034	0.04316422807039755	IR
Wang_et_al._2019	1.7	2.0	0.11884113033556777	0.04680823968288639	IR
Wang_et_al._2019	2.0	2.5	0.11657140154093314	0.03681657057441767	IR
Wang_et_al._2019	2.5	3.0	0.1161665531434194	0.0481002376534202	IR
Wang_et_al._2019	3.0	4.2	0.0637134985962156	0.012642444338258119	IR
Wang_et_al._2019	4.2	5.0	0.040760470730593586	0.01796560244211498	IR
Wang_et_al._2019	5.0	6.0	0.029730790246333485	0.17934691163269068	IR
